"","pval","bin_counts.1","bin_counts.2","bin_counts.3","bin_counts.4","bin_counts.5","bin_counts.6","bin_counts.7","bin_counts.8","bin_counts.9","bin_counts.10","bin_counts.11","bin_counts.12","bin_counts.13","bin_counts.14","bin_counts.15","bin_counts.16","bin_counts.17","bin_counts.18","bin_counts.19","bin_counts.20","integ"
"1",6.43686428035542e-12,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.56731932407984
"2",4.68398690400238e-17,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.67020587809315
"3",4.68398690400238e-17,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.67020587809315
"4",4.68398690400238e-17,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.67020587809315
"5",4.68398690400238e-17,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.67020587809315
